(50.0, 1.6570226456666666)
(55.0, 2.323304769)
(60.0, 3.3934950403333333)
(65.0, 4.643445182)
(70.0, 6.20715102)
(75.0, 8.289403827333333)
(80.0, 11.024421241333334)
(85.0, 13.743021661)
(90.0, 17.367959257666666)
(95.0, 21.051241099)
#ADDPOINTS
(100.0, 26.059711411666665)
(105.0, 32.323994621000004)
(110.0, 38.040729391666666)
(115.0, 46.05232650433334)
(120.0, 53.580675598)
(125.0, 62.48276232166668)
(130.0, 72.50212876133334)
(135.0, 84.58722904866666)
(140.0, 96.33321091700002)
(145.0, 108.52632663700001)
(150.0, 125.086171039)
(155.0, 140.51539731466664)
(160.0, 156.40137339733334)
(165.0, 182.807921542)
(170.0, 197.00384667066666)
(175.0, 226.28576423699997)
(180.0, 247.63497276366664)
(185.0, 263.90948060533333)
(190.0, 312.27425900866666)
(195.0, 323.08675477)
(200.0, 354.899092028)
(205.0, 411.1526948613334)
(210.0, 423.9000630366666)
(215.0, 461.7975887663333)
(220.0, 506.37575487366666)
(225.0, 541.3564301)
(230.0, 589.7661366326666)
(235.0, 602.5271273373334)
(240.0, 682.0290406426667)
(245.0, 713.6885287026666)
(250.0, 766.4866192623334)
(255.0, 807.18471824)
(260.0, 863.3058939839999)
(265.0, 939.714136119)
(270.0, 981.8050159226667)
(275.0, 1027.3229594026668)
(280.0, 1108.4462063446667)
(285.0, 1187.4796600376667)
(290.0, 1184.1594133826668)
