(50.0, 5.541257567666666)
(55.0, 7.786006711)
(60.0, 10.162954300666668)
(65.0, 13.193716168)
(70.0, 16.776414117333335)
(75.0, 20.883873657)
(80.0, 25.584333578)
(85.0, 30.614758221666666)
(90.0, 36.018038307666664)
(95.0, 42.800778813)
(100.0, 50.06231022066667)
(105.0, 57.904892718000006)
(110.0, 67.04729308833333)
(115.0, 75.76140593066667)
(120.0, 88.63993863166667)
(125.0, 97.757028318)
(130.0, 109.20616419733334)
(135.0, 123.051319351)
(140.0, 137.07324805866665)
(145.0, 148.38642539133332)
(150.0, 160.32861585333333)
(155.0, 179.93473532466666)
(160.0, 187.52850347466668)
(165.0, 202.77239977333332)
(170.0, 212.87514537466666)
(175.0, 232.154351887)
(180.0, 238.52305531599998)
(185.0, 263.707634816)
(190.0, 269.1201943393333)
(195.0, 281.6841463786667)
(200.0, 302.487933847)
